timestamp,id_equipo,t_ambiente_C,t_interior_C,delta_t_cond_C,eta_compresor,cop,temp_descarga_C,trabajo_kW,calor_extraido_kW,calidad_evap,estado
2025-12-20 20:06:33,CAMARA_03_VERDURAS,12.3,3.7,15.0,0.723,7.63,35.9,1.71,13.047,0.166,NORMAL
2025-12-20 21:06:33,CAMARA_01_CARNES,12.3,-18.2,15.0,0.72,3.27,47.2,5.505,17.994,0.291,NORMAL
2025-12-20 21:06:33,CAMARA_02_LACTEOS,12.3,3.7,16.5,0.754,7.42,36.9,1.735,12.877,0.177,NORMAL
2025-12-20 21:06:33,CAMARA_03_VERDURAS,12.3,3.7,15.0,0.756,7.98,34.9,1.634,13.047,0.166,NORMAL
2025-12-20 22:06:33,CAMARA_01_CARNES,12.5,-18.2,15.0,0.74,3.34,46.2,5.377,17.96,0.293,NORMAL
2025-12-20 22:06:33,CAMARA_02_LACTEOS,12.5,3.5,17.1,0.74,7.02,38.3,1.82,12.785,0.183,NORMAL
2025-12-20 22:06:33,CAMARA_03_VERDURAS,12.5,3.7,15.0,0.75,7.84,35.4,1.661,13.024,0.167,NORMAL
2025-12-20 23:06:33,CAMARA_01_CARNES,13.3,-18.3,15.0,0.749,3.31,46.6,5.391,17.822,0.298,NORMAL
2025-12-20 23:06:33,CAMARA_02_LACTEOS,13.3,4.4,22.8,0.752,5.46,46.0,2.202,12.02,0.232,ADVERTENCIA
2025-12-20 23:06:33,CAMARA_03_VERDURAS,13.3,4.3,15.0,0.728,7.33,37.0,1.765,12.932,0.173,NORMAL
2025-12-21 00:06:33,CAMARA_01_CARNES,6.4,-17.6,15.0,0.748,4.05,38.1,4.695,19.002,0.252,NORMAL
2025-12-21 00:06:33,CAMARA_02_LACTEOS,6.4,4.4,15.0,0.729,10.63,28.0,1.291,13.718,0.123,NORMAL
2025-12-21 00:06:33,CAMARA_03_VERDURAS,6.4,3.5,15.0,0.74,10.79,27.7,1.271,13.718,0.123,NORMAL
2025-12-21 01:06:33,CAMARA_01_CARNES,11.6,-18.0,15.0,0.742,3.44,45.0,5.273,18.115,0.286,NORMAL
2025-12-21 01:06:33,CAMARA_02_LACTEOS,11.6,4.1,15.0,0.752,8.22,34.2,1.598,13.127,0.161,NORMAL
2025-12-21 01:06:33,CAMARA_03_VERDURAS,11.6,4.3,15.0,0.766,8.37,33.8,1.569,13.127,0.161,NORMAL
2025-12-21 02:06:33,CAMARA_01_CARNES,10.5,-17.8,21.3,0.725,2.91,52.5,5.923,17.222,0.322,ADVERTENCIA
2025-12-21 02:06:33,CAMARA_02_LACTEOS,10.5,4.2,15.0,0.745,8.6,32.9,1.54,13.253,0.153,NORMAL
2025-12-21 02:06:33,CAMARA_03_VERDURAS,10.5,4.0,15.0,0.741,8.56,33.0,1.548,13.253,0.153,NORMAL
2025-12-21 03:06:33,CAMARA_01_CARNES,11.4,-18.0,15.0,0.762,3.55,43.6,5.114,18.149,0.285,NORMAL
2025-12-21 03:06:33,CAMARA_02_LACTEOS,11.4,4.2,15.0,0.74,8.16,34.2,1.611,13.15,0.159,NORMAL
2025-12-21 03:06:33,CAMARA_03_VERDURAS,11.4,4.0,15.0,0.741,8.17,34.2,1.609,13.15,0.159,NORMAL
2025-12-21 04:06:33,CAMARA_01_CARNES,10.7,-18.1,16.1,0.74,3.4,45.4,5.314,18.074,0.288,NORMAL
2025-12-21 04:06:33,CAMARA_02_LACTEOS,10.7,3.5,15.0,0.755,8.63,32.9,1.532,13.23,0.154,NORMAL
2025-12-21 04:06:33,CAMARA_03_VERDURAS,10.7,3.7,15.0,0.742,8.48,33.3,1.56,13.23,0.154,NORMAL
2025-12-21 05:06:33,CAMARA_01_CARNES,11.3,-17.5,15.0,0.766,3.58,43.2,5.076,18.166,0.284,NORMAL
2025-12-21 05:06:33,CAMARA_02_LACTEOS,11.3,3.9,17.9,0.754,7.26,37.4,1.765,12.824,0.18,NORMAL
2025-12-21 05:06:33,CAMARA_03_VERDURAS,11.3,4.3,15.0,0.768,8.52,33.4,1.545,13.161,0.159,NORMAL
2025-12-21 06:06:33,CAMARA_01_CARNES,11.5,-18.4,15.0,0.755,3.51,44.1,5.171,18.132,0.286,NORMAL
2025-12-21 06:06:33,CAMARA_02_LACTEOS,11.5,4.3,15.0,0.765,8.4,33.7,1.565,13.139,0.16,NORMAL
2025-12-21 06:06:33,CAMARA_03_VERDURAS,11.5,3.5,17.2,0.747,7.38,37.0,1.747,12.886,0.176,NORMAL
2025-12-21 07:06:33,CAMARA_01_CARNES,12.9,-17.9,15.0,0.737,3.29,46.9,5.443,17.891,0.295,NORMAL
2025-12-21 07:06:33,CAMARA_02_LACTEOS,12.9,3.9,17.3,0.755,6.97,38.6,1.823,12.711,0.187,NORMAL
2025-12-21 07:06:33,CAMARA_03_VERDURAS,12.9,4.1,17.1,0.758,7.07,38.2,1.802,12.739,0.186,NORMAL
2025-12-21 08:06:33,CAMARA_01_CARNES,11.7,-18.2,17.3,0.748,3.23,47.6,5.474,17.702,0.303,NORMAL
2025-12-21 08:06:33,CAMARA_02_LACTEOS,11.7,3.6,15.0,0.722,7.85,35.1,1.672,13.116,0.162,NORMAL
2025-12-21 08:06:33,CAMARA_03_VERDURAS,11.7,4.2,20.2,0.729,6.26,41.5,1.999,12.516,0.2,ADVERTENCIA
2025-12-21 09:06:33,CAMARA_01_CARNES,14.8,-17.9,15.0,0.767,3.25,47.4,5.41,17.563,0.308,NORMAL
2025-12-21 09:06:33,CAMARA_02_LACTEOS,14.8,3.6,18.2,0.751,6.16,42.2,2.01,12.39,0.208,NORMAL
2025-12-21 09:06:33,CAMARA_03_VERDURAS,14.8,3.6,15.0,0.741,6.96,38.5,1.833,12.759,0.184,NORMAL
2025-12-21 10:06:33,CAMARA_01_CARNES,15.7,-17.7,15.0,0.725,2.99,51.2,5.821,17.406,0.314,NORMAL
2025-12-21 10:06:33,CAMARA_02_LACTEOS,15.7,3.9,15.0,0.746,6.74,39.5,1.879,12.655,0.191,NORMAL
2025-12-21 10:06:33,CAMARA_03_VERDURAS,15.7,3.7,15.0,0.733,6.63,39.9,1.91,12.655,0.191,NORMAL
